run,frequency_hz,gain_db
1,89117.27612313014,-12.64817908245991
1,89458.71927266582,-12.57770692550259
1,89801.4706244877,-12.49866254469788
1,90145.53519083059,-12.41716047757495
1,90490.91800313297,-12.33256868382947
1,90837.62411211095,-12.25307594872187
1,91185.65858783174,-12.1592824685342
1,91535.02651978802,-12.08066346621959
1,91885.73301697231,-11.99517360134656
1,92237.7832079517,-11.91101821198574
1,92591.18224094278,-11.82323570819162
1,92945.935283887,-11.72776536735482
1,93302.04752452619,-11.63341385433213
1,93659.52417047851,-11.54523995906405
1,94018.37044931446,-11.45191920762617
1,94378.59160863348,-11.36064191720733
1,94740.19291614057,-11.26936577973078
1,95103.17965972338,-11.16773230835266
1,95467.55714752954,-11.07911470066635
1,95833.33070804428,-10.97834585612472
1,96200.50569016827,-10.8845106896178
1,96569.08746329599,-10.78623990942558
1,96939.08141739416,-10.69029034098563
1,97310.49296308051,-10.5919004633281
1,97683.32753170308,-10.49284456903247
1,98057.59057541941,-10.39114766556604
1,98433.28756727643,-10.28875240005069
1,98810.42400129049,-10.19031744029626
1,99189.00539252762,-10.08924769754747
1,99569.03727718422,-9.984661801470086
1,99950.52521266807,-9.880924783714955
1,100333.4747776795,-9.77708651941861
1,100717.8915722932,-9.672156415325741
1,101103.7812180395,-9.570138493491777
1,101491.1493579876,-9.467930429071998
1,101880.001656827,-9.368828404596051
1,102270.3438009512,-9.268349484216929
1,102662.1814985402,-9.161670228242848
1,103055.5204796446,-9.06145210053965
1,103450.3664962687,-8.964022152433966
1,103846.7253224552,-8.869059378846988
1,104244.6027543695,-8.775978169024894
1,104644.0046103842,-8.681770374151098
1,105044.9367311643,-8.595842324093526
1,105447.404979753,-8.505526251869481
1,105851.4152416567,-8.420509520459387
1,106256.9734249318,-8.33844270855842
1,106664.0854602706,-8.261758718335958
1,107072.7573010883,-8.188879494653662
1,107482.9949236099,-8.11989704775144
1,107894.8043269576,-8.055966531120104
1,108308.1915332389,-7.995721506855302
1,108723.1625876339,-7.943205707949882
1,109139.7235584843,-7.891778075295156
1,109557.8805373823,-7.851627579025731
1,109977.6396392589,-7.812634341148597
1,110399.0070024742,-7.781981586951953
1,110821.9887889064,-7.761081280465099
1,111246.5911840426,-7.74753037600303
1,111672.8203970687,-7.740496101446194
1,112100.6826609604,-7.742362753489401
1,112530.1842325746,-7.751638785830808
1,112961.3313927404,-7.770095017634027
1,113394.1304463514,-7.800307062875737
1,113828.5877224577,-7.833117036194997
1,114264.7095743582,-7.878291547094529
1,114702.5023796943,-7.929969774542017
1,115141.972540542,-7.990693647078226
1,115583.1264835067,-8.058722290805918
1,116025.9706598164,-8.136439224999815
1,116470.5115454163,-8.214366777780775
1,116916.7556410634,-8.308651234120948
1,117364.7094724218,-8.406302661144448
1,117814.3795901578,-8.50711992950789
1,118265.7725700361,-8.618708932054073
1,118718.8950130155,-8.737318114968494
1,119173.7535453458,-8.86194107701689
1,119630.3548186645,-8.993984142351902
1,120088.7055100941,-9.127649142370531
1,120548.8123223397,-9.268040074897787
1,121010.6819837874,-9.411376956989205
1,121474.3212486019,-9.556783857420537
1,121939.7368968263,-9.707444321730463
1,122406.9357344801,-9.860606000851192
1,122875.9245936599,-10.02099088487346
1,123346.7103326383,-10.18307605989038
1,123819.2998359648,-10.34433328375446
1,124293.7000145663,-10.50229117924584
1,124769.9178058482,-10.67304249601214
1,125247.9601737958,-10.83526144130266
1,125727.834109076,-11.0052696646064
1,126209.5466291399,-11.1690326369102
1,126693.1047783251,-11.34446334631496
1,127178.5156279587,-11.51591402440593
1,127665.7862764611,-11.68769430386764
1,128154.9238494493,-11.86808674935382
1,128645.9354998413,-12.03647268210632
